id_interacao,data_inicio,categoria,status_final,prioridade,canal,tempo_primeira_resposta,data_fim,tempo_total,origem,qtd_transferencias,FCR,NPS,id_atendente,turno,volume_dia
1,2021-03-22,Technical issue,Pending Customer Response,Critical,Social media,1154175.6,2021-03-24 16:00:00,3840.0,Social media,0,1,7,AT001,Manhã (06-14h),1186
2,2021-05-22,Technical issue,Pending Customer Response,Critical,Chat,1066605.6333333333,2021-05-24 05:00:00,3180.0,Chat,0,1,8,AT022,Noite (22-06h),2229
3,2020-07-14,Technical issue,Closed,Low,Social media,1515554.6333333333,2020-07-14 00:00:00,0.0,Social media,0,1,5,AT020,Manhã (06-14h),2077
4,2020-11-13,Billing inquiry,Closed,Low,Social media,1339649.6666666667,2020-11-13 00:00:00,0.0,Social media,2,0,5,AT009,Tarde (14-22h),1572
5,2020-02-04,Billing inquiry,Closed,Low,Email,1746732.7,2020-02-04 00:00:00,0.0,Email,0,1,5,AT014,Tarde (14-22h),1287
6,2020-07-28,Cancellation request,Open,Low,Social media,0.0,2020-08-02 11:00:00,7860.0,Social media,0,1,6,AT007,Tarde (14-22h),2025
7,2020-02-23,Product inquiry,Open,Critical,Social media,0.0,2020-02-27 11:00:00,6420.0,Social media,0,1,9,AT003,Tarde (14-22h),2475
8,2020-08-09,Refund request,Open,Critical,Social media,0.0,2020-08-14 07:00:00,7620.0,Social media,0,1,10,AT010,Tarde (14-22h),1523
9,2020-07-16,Technical issue,Pending Customer Response,Low,Social media,1512632.7833333334,2020-07-17 05:00:00,1740.0,Social media,0,1,5,AT017,Manhã (06-14h),977
10,2020-03-06,Refund request,Pending Customer Response,Critical,Phone,1702645.8,2020-03-12 15:00:00,9540.0,Phone,3,0,4,AT013,Tarde (14-22h),883
11,2021-01-19,Cancellation request,Closed,High,Phone,1243786.8166666667,2021-01-19 00:00:00,0.0,Phone,0,1,5,AT015,Manhã (06-14h),1954
12,2021-10-24,Product inquiry,Closed,High,Chat,843125.85,2021-10-24 00:00:00,0.0,Chat,0,1,5,AT015,Tarde (14-22h),1415
13,2021-05-26,Technical issue,Pending Customer Response,Low,Chat,1060983.8833333333,2021-05-27 14:00:00,2280.0,Chat,0,1,8,AT001,Manhã (06-14h),2090
14,2020-07-13,Technical issue,Pending Customer Response,Low,Chat,1517554.9,2020-07-18 06:00:00,7560.0,Chat,0,1,10,AT024,Tarde (14-22h),1513
15,2020-02-29,Billing inquiry,Closed,High,Chat,1711102.9166666667,2020-02-29 00:00:00,0.0,Chat,0,1,5,AT020,Manhã (06-14h),1150
16,2021-06-24,Billing inquiry,Pending Customer Response,High,Social media,1018989.95,2021-06-29 20:00:00,8400.0,Social media,1,0,3,AT009,Manhã (06-14h),1228
17,2021-10-13,Product inquiry,Closed,Critical,Chat,859426.9833333333,2021-10-13 00:00:00,0.0,Chat,0,1,5,AT017,Tarde (14-22h),2077
18,2020-09-07,Product inquiry,Pending Customer Response,High,Chat,1436945.0166666666,2020-09-13 15:00:00,9540.0,Chat,0,1,5,AT024,Manhã (06-14h),2122
19,2021-09-23,Product inquiry,Open,High,Social media,0.0,2021-09-29 03:00:00,8820.0,Social media,0,1,8,AT015,Tarde (14-22h),1824
20,2021-03-08,Refund request,Closed,Low,Chat,1173646.0666666667,2021-03-08 00:00:00,0.0,Chat,0,1,5,AT020,Noite (22-06h),1416
21,2021-05-31,Refund request,Pending Customer Response,High,Chat,1052948.0833333333,2021-06-02 02:00:00,3000.0,Chat,0,1,7,AT010,Manhã (06-14h),995
22,2020-02-04,Cancellation request,Pending Customer Response,Critical,Social media,1746717.1166666667,2020-02-06 04:00:00,3120.0,Social media,1,0,5,AT015,Manhã (06-14h),935
23,2020-02-11,Cancellation request,Open,Medium,Social media,0.0,2020-02-14 21:00:00,5580.0,Social media,2,0,8,AT002,Tarde (14-22h),2095
24,2021-08-06,Technical issue,Pending Customer Response,Low,Social media,956706.15,2021-08-10 08:00:00,6240.0,Social media,0,1,9,AT006,Manhã (06-14h),2281
25,2021-05-25,Product inquiry,Open,Critical,Email,0.0,2021-05-26 03:00:00,1620.0,Email,1,0,8,AT005,Manhã (06-14h),1907
26,2021-07-05,Product inquiry,Pending Customer Response,Medium,Social media,1003382.2,2021-07-06 17:00:00,2460.0,Social media,0,1,7,AT023,Tarde (14-22h),2461
27,2020-05-02,Billing inquiry,Pending Customer Response,Low,Social media,1621202.2166666666,2020-05-07 02:00:00,7320.0,Social media,0,1,7,AT015,Tarde (14-22h),1919
28,2020-10-12,Cancellation request,Open,High,Phone,0.0,2020-10-16 01:00:00,5820.0,Phone,0,1,2,AT025,Tarde (14-22h),2140
29,2020-06-10,Technical issue,Closed,Critical,Phone,1563797.2833333334,2020-06-10 00:00:00,0.0,Phone,1,0,5,AT007,Noite (22-06h),2283
30,2020-12-26,Cancellation request,Closed,Medium,Phone,1277334.2833333334,2020-12-26 00:00:00,0.0,Phone,0,1,5,AT025,Tarde (14-22h),1775
31,2021-01-28,Billing inquiry,Open,Low,Email,0.0,2021-01-29 08:00:00,1920.0,Email,0,1,3,AT015,Manhã (06-14h),1748
32,2021-12-20,Technical issue,Closed,Medium,Social media,760722.35,2021-12-20 00:00:00,0.0,Social media,0,1,5,AT014,Manhã (06-14h),2158
33,2021-12-07,Billing inquiry,Pending Customer Response,Medium,Chat,780216.35,2021-12-10 06:00:00,4680.0,Chat,0,1,3,AT009,Noite (22-06h),2348
34,2021-12-09,Refund request,Closed,Critical,Social media,776281.3833333333,2021-12-09 00:00:00,0.0,Social media,1,0,5,AT021,Noite (22-06h),952
35,2021-04-09,Refund request,Pending Customer Response,Low,Chat,1128770.4,2021-04-11 17:00:00,3900.0,Chat,0,1,9,AT005,Noite (22-06h),1195
36,2020-10-13,Cancellation request,Closed,High,Chat,1384316.4166666667,2020-10-13 00:00:00,0.0,Chat,0,1,5,AT016,Noite (22-06h),1202
37,2020-03-14,Refund request,Pending Customer Response,Medium,Email,1691511.4666666666,2020-03-15 18:00:00,2520.0,Email,0,1,7,AT023,Tarde (14-22h),1181
38,2020-09-02,Product inquiry,Open,Medium,Chat,0.0,2020-09-04 16:00:00,3840.0,Chat,1,0,9,AT009,Tarde (14-22h),2093
39,2021-09-10,Technical issue,Closed,Critical,Phone,906885.5,2021-09-10 00:00:00,0.0,Phone,0,1,5,AT023,Tarde (14-22h),2030
40,2021-10-22,Product inquiry,Pending Customer Response,Medium,Social media,845179.5333333333,2021-10-24 12:00:00,3600.0,Social media,1,0,10,AT023,Manhã (06-14h),1346
41,2021-02-07,Product inquiry,Pending Customer Response,Low,Phone,1215911.55,2021-02-12 23:00:00,8580.0,Phone,0,1,10,AT003,Manhã (06-14h),2061
42,2021-06-09,Billing inquiry,Closed,Critical,Chat,1040905.5666666667,2021-06-09 00:00:00,0.0,Chat,0,1,5,AT008,Manhã (06-14h),917
43,2020-10-10,Product inquiry,Pending Customer Response,Medium,Phone,1389281.5833333333,2020-10-15 22:00:00,8520.0,Phone,0,1,10,AT020,Manhã (06-14h),2447
44,2020-01-16,Technical issue,Open,Low,Email,0.0,2020-01-19 18:00:00,5400.0,Email,0,1,10,AT017,Noite (22-06h),2172
45,2021-09-25,Refund request,Closed,Critical,Email,884518.65,2021-09-25 00:00:00,0.0,Email,1,0,5,AT004,Manhã (06-14h),1667
46,2021-02-01,Product inquiry,Open,Low,Chat,0.0,2021-02-05 03:00:00,5940.0,Chat,0,1,6,AT021,Manhã (06-14h),2412
47,2020-10-15,Refund request,Closed,High,Phone,1381183.7166666666,2020-10-15 00:00:00,0.0,Phone,0,1,5,AT024,Manhã (06-14h),1234
48,2020-07-29,Technical issue,Closed,Medium,Social media,1493716.75,2020-07-29 00:00:00,0.0,Social media,1,0,5,AT008,Manhã (06-14h),2167
49,2021-02-15,Cancellation request,Open,High,Chat,0.0,2021-02-16 03:00:00,1620.0,Chat,0,1,2,AT023,Tarde (14-22h),1834
50,2020-09-27,Technical issue,Open,Medium,Chat,0.0,2020-10-02 10:00:00,7800.0,Chat,0,1,9,AT021,Tarde (14-22h),1108
51,2020-12-22,Refund request,Open,Medium,Chat,0.0,2020-12-27 21:00:00,8460.0,Chat,0,1,9,AT016,Noite (22-06h),2154
52,2020-11-20,Refund request,Closed,Medium,Chat,1330101.8166666667,2020-11-20 00:00:00,0.0,Chat,1,0,5,AT004,Noite (22-06h),1580
53,2021-10-10,Refund request,Closed,High,Social media,862674.8166666667,2021-10-10 00:00:00,0.0,Social media,2,0,5,AT017,Manhã (06-14h),2300
54,2021-08-16,Cancellation request,Closed,Low,Chat,941799.8333333334,2021-08-16 00:00:00,0.0,Chat,0,1,5,AT009,Noite (22-06h),2202
55,2021-10-14,Technical issue,Pending Customer Response,Low,Chat,857245.85,2021-10-20 06:00:00,9000.0,Chat,0,1,8,AT025,Manhã (06-14h),1532
56,2021-11-19,Cancellation request,Pending Customer Response,Critical,Chat,805634.8833333333,2021-11-22 20:00:00,5520.0,Chat,0,1,7,AT008,Manhã (06-14h),1236
57,2021-12-22,Technical issue,Pending Customer Response,Medium,Social media,758073.8833333333,2021-12-23 15:00:00,2340.0,Social media,1,0,5,AT005,Manhã (06-14h),1611
58,2020-07-28,Refund request,Open,Critical,Email,0.0,2020-08-02 06:00:00,7560.0,Email,0,1,3,AT006,Manhã (06-14h),1825
59,2020-07-31,Technical issue,Closed,Medium,Phone,1491116.95,2020-07-31 00:00:00,0.0,Phone,2,0,5,AT003,Noite (22-06h),804
60,2021-09-05,Product inquiry,Closed,Medium,Chat,914150.9666666667,2021-09-05 00:00:00,0.0,Chat,2,0,5,AT016,Manhã (06-14h),2078
61,2020-11-16,Cancellation request,Closed,Medium,Chat,1334898.0,2020-11-16 00:00:00,0.0,Chat,0,1,5,AT020,Tarde (14-22h),801
62,2021-11-21,Product inquiry,Pending Customer Response,Critical,Social media,802172.0333333333,2021-11-24 16:00:00,5280.0,Social media,0,1,9,AT015,Tarde (14-22h),1136
63,2020-12-12,Billing inquiry,Closed,High,Email,1297417.0666666667,2020-12-12 00:00:00,0.0,Email,0,1,5,AT023,Tarde (14-22h),2345
64,2020-04-24,Billing inquiry,Pending Customer Response,High,Phone,1631947.0833333333,2020-04-27 11:00:00,4980.0,Phone,0,1,5,AT020,Manhã (06-14h),1513
65,2021-08-02,Technical issue,Open,Medium,Phone,0.0,2021-08-07 22:00:00,8520.0,Phone,1,0,10,AT003,Tarde (14-22h),1331
66,2021-11-11,Technical issue,Pending Customer Response,Medium,Phone,816398.1166666667,2021-11-17 10:00:00,9240.0,Phone,2,0,10,AT013,Manhã (06-14h),810
67,2021-08-08,Billing inquiry,Closed,High,Email,953586.1333333333,2021-08-08 00:00:00,0.0,Email,1,0,5,AT021,Noite (22-06h),807
68,2021-06-27,Cancellation request,Pending Customer Response,Low,Phone,1015024.1666666666,2021-06-30 23:00:00,5700.0,Phone,0,1,6,AT013,Manhã (06-14h),1583
69,2021-02-06,Technical issue,Pending Customer Response,Critical,Chat,1216740.2,2021-02-10 05:00:00,6060.0,Chat,2,0,1,AT008,Tarde (14-22h),1021
70,2020-02-13,Refund request,Closed,High,Chat,1734477.2,2020-02-13 00:00:00,0.0,Chat,0,1,5,AT013,Manhã (06-14h),2169
